"ID","Polymer Composition","NAKB NA","NAKB Protein","NAKB Ligand"
"1AM0","RNA","aptamer","","nucleotide like"
"1RAW","RNA","aptamer","","nucleotide like"
"3DS7","RNA","purine-compound riboswitch","","nucleotide like"
"3SKI","RNA","purine-compound riboswitch","","nucleotide like"
"3SKL","RNA","purine-compound riboswitch","","nucleotide like"
"3SKR","RNA","purine-compound riboswitch","","nucleotide like"
"3SKT","RNA","purine-compound riboswitch","","nucleotide like"
"3SKW","RNA","purine-compound riboswitch","","nucleotide like"
"3SLM","RNA","purine-compound riboswitch","","nucleotide like"
"4Q9R","Protein/RNA","quadruplex","antibody","nucleotide like"
"4YAZ","RNA","purine-compound riboswitch","","nucleotide like"
"4YB1","Protein/RNA","purine-compound riboswitch","spliceosome","nucleotide like"
"5UEE","RNA","A-form double helix, self-replicating","","nucleotide like"
"5UX3","RNA","self-replicating","","nucleotide like"
"5V0H","RNA","A-form double helix, self-replicating","","nucleotide like"
"5V0J","RNA","A-form double helix","","nucleotide like"
"5V0K","RNA","","","nucleotide like"
"5V0O","RNA","A-form double helix, self-replicating","","nucleotide like"
"5V9Z","RNA","A-form double helix, self-replicating","","nucleotide like"
"5VCF","RNA","self-replicating","","nucleotide like"
"5VCI","RNA","self-replicating","","nucleotide like"
"6AZ4","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8D","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8E","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8I","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8J","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8K","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8L","RNA","self-replicating","","nucleotide like"
"6C8M","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8N","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8O","RNA","A-form double helix, self-replicating","","nucleotide like"
"6P2H","RNA","purine-compound riboswitch","","nucleotide like"
"6TB7","RNA","enzyme cofactor riboswitch","","nucleotide like"
"6U6J","RNA","A-form double helix, self-replicating","","nucleotide like"
"6YMI","RNA","enzyme cofactor riboswitch","","nucleotide like"
"6YML","RNA","enzyme cofactor riboswitch","","nucleotide like"
"7KUK","RNA","A-form double helix, self-replicating","","nucleotide like"
"7KUM","RNA","A-form double helix, self-replicating","","nucleotide like"
"7KUN","RNA","A-form double helix","","nucleotide like"
"7KUO","RNA","A-form double helix, self-replicating","","nucleotide like"
"7KUP","RNA","A-form double helix, self-replicating","","nucleotide like"
"7KVT","RNA","fluorescing aptamer","","nucleotide like"
"7KVU","RNA","fluorescing aptamer","","nucleotide like"
"7L0Z","RNA","fluorescing aptamer","","nucleotide like"
"7LNE","RNA","A-form double helix","","nucleotide like"
"7LNF","RNA","A-form double helix","","nucleotide like"
"7LNG","RNA","A-form double helix","","nucleotide like"
"8SX6","RNA","A-form double helix","","nucleotide like"
"8SXL","RNA","A-form double helix","","nucleotide like"
"8VAW","RNA","A-form double helix","","nucleotide like"
"8VAX","RNA","A-form double helix","","nucleotide like"
