"ID","NAKB NA","NAKB Protein","NAKB Ligand"
"1A3M","double helix, ribosomal RNA","",""
"1A51","double helix, ribosomal RNA","",""
"1BGZ","ribosomal RNA","",""
"1BYJ","ribosomal RNA","",""
"1C04","ribosomal RNA","ribosome",""
"1C2W","ribosomal RNA","ribosome",""
"1C2X","ribosomal RNA","ribosome",""
"1CSL","A-form double helix, ribosomal RNA","",""
"1D6K","A-form double helix, ribosomal RNA","ribosome",""
"1DFU","ribosomal RNA","ribosome",""
"1DK1","ribosomal RNA","ribosome",""
"1DUH","ribosomal RNA","",""
"1EG0","ribosomal RNA, transfer RNA","ribosome",""
"1ELH","A-form double helix, ribosomal RNA","",""
"1EMI","ribosomal RNA","ribosome",""
"1F7Y","ribosomal RNA","ribosome",""
"1FEU","ribosomal RNA","ribosome",""
"1FFK","ribosomal RNA","ribosome",""
"1FG0","ribosomal RNA","ribosome",""
"1FJG","ribosomal RNA","ribosome",""
"1FKA","ribosomal RNA","ribosome",""
"1FYO","ribosomal RNA","",""
"1FYP","A-form double helix, ribosomal RNA","",""
"1G1X","ribosomal RNA","ribosome",""
"1HC8","ribosomal RNA","ribosome",""
"1HNW","ribosomal RNA","ribosome",""
"1HNX","ribosomal RNA","ribosome",""
"1HNZ","ribosomal RNA","ribosome",""
"1HR0","ribosomal RNA","ribosome, translation",""
"1I6U","ribosomal RNA","ribosome",""
"1I94","ribosomal RNA","ribosome",""
"1I95","ribosomal RNA","ribosome",""
"1I96","ribosomal RNA","ribosome, translation",""
"1I97","ribosomal RNA","ribosome",""
"1IBK","ribosomal RNA","ribosome",""
"1IBL","ribosomal RNA, transfer RNA","ribosome",""
"1IBM","ribosomal RNA, transfer RNA","ribosome",""
"1J5A","ribosomal RNA","ribosome",""
"1J5E","ribosomal RNA","ribosome",""
"1J7T","ribosomal RNA","",""
"1JBR","ribosomal RNA","nuclease",""
"1JBS","ribosomal RNA","nuclease",""
"1JBT","ribosomal RNA","nuclease",""
"1JGO","ribosomal RNA, transfer RNA","ribosome",""
"1JGP","ribosomal RNA, transfer RNA","ribosome",""
"1JGQ","ribosomal RNA, transfer RNA","ribosome",""
"1JJ2","ribosomal RNA","ribosome",""
"1JUR","ribosomal RNA","",""
"1JZX","ribosomal RNA","ribosome",""
"1JZY","ribosomal RNA","ribosome",""
"1JZZ","ribosomal RNA","ribosome",""
"1K01","ribosomal RNA","ribosome",""
"1K73","ribosomal RNA","ribosome",""
"1K8A","ribosomal RNA","ribosome",""
"1K9M","ribosomal RNA","ribosome",""
