"ID","Polymer Composition","NAKB NA","NAKB Protein","NAKB Ligand"
"5DHC","RNA","A-form double helix, self-replicating","",""
"5HBY","RNA","A-form double helix, self-replicating","",""
"5KRG","RNA","A-form double helix, self-replicating","",""
"5L00","RNA","A-form double helix, self-replicating","",""
"5UED","RNA","A-form double helix, self-replicating","",""
"5UEE","RNA","A-form double helix, self-replicating","","nucleotide like"
"5UEF","RNA","A-form double helix, self-replicating","",""
"5UEG","RNA","A-form double helix, self-replicating","",""
"5UX3","RNA","self-replicating","","nucleotide like"
"5UZ6","RNA","A-form double helix, self-replicating","",""
"5V0H","RNA","A-form double helix, self-replicating","","nucleotide like"
"5V0O","RNA","A-form double helix, self-replicating","","nucleotide like"
"5V9Z","RNA","A-form double helix, self-replicating","","nucleotide like"
"5VCF","RNA","self-replicating","","nucleotide like"
"5VCI","RNA","self-replicating","","nucleotide like"
"5VGW","RNA","self-replicating","",""
"6AZ4","RNA","A-form double helix, self-replicating","","nucleotide like"
"6BMD","RNA","A-form double helix, self-replicating","",""
"6C8D","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8E","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8I","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8J","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8K","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8L","RNA","self-replicating","","nucleotide like"
"6C8M","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8N","RNA","A-form double helix, self-replicating","","nucleotide like"
"6C8O","RNA","A-form double helix, self-replicating","","nucleotide like"
"6CAB","RNA","A-form double helix, self-replicating","",""
"6OWL","RNA","self-replicating","",""
"6U6J","RNA","A-form double helix, self-replicating","","nucleotide like"
"6U7Y","RNA","self-replicating","",""
"6U7Z","RNA","self-replicating","",""
"6U8F","RNA","self-replicating","",""
"6U8U","RNA","A-form double helix, self-replicating","",""
"7KUK","RNA","A-form double helix, self-replicating","","nucleotide like"
"7KUM","RNA","A-form double helix, self-replicating","","nucleotide like"
"7KUO","RNA","A-form double helix, self-replicating","","nucleotide like"
"7KUP","RNA","A-form double helix, self-replicating","","nucleotide like"
"7U87","RNA","A-form double helix, self-replicating","",""
"7U88","RNA","A-form double helix, self-replicating","",""
"7U89","RNA","A-form double helix, self-replicating","",""
"7U8A","RNA","A-form double helix, self-replicating","",""
