pdbid,ligand_id,ligand_resnum,rna_chain,ligand_chain
1hnw,TAC,1632,A,MD
1hnz,HYG,1632,A,MD
1i95,EDE,2001,A,JC
1i97,TAC,2001,A,KC
1i97,TAC,2003,A,LC
1ibk,PAR,1545,A,W
1ibl,PAR,1545,A,Y
1j5a,CTY,2881,A,E
1jzx,CLY,2881,A,E
1jzy,ERY,2881,A,E
1jzz,ROX,2881,A,E
1k01,CLM,2884,A,H
1k73,ANM,9000,A,EA
1m90,SPS,9080,5,WH
1n32,PAR,1545,A,X
1n33,PAR,1545,A,X
1n8r,VIR,9403,A,EA
1nji,CLM,9001,A,NH
1njm,SPS,2881,0,E
1njn,SPS,2881,0,B
1nwx,773,2881,0,FA
1p9x,TEL,2881,0,B
1vvj,PAR,1661,QA,OF
1vvj,PAR,1664,XA,UQ
1xbp,MUL,2881,0,FA
1xmo,PAR,1545,A,X
1xnq,PAR,1545,A,X
1xnr,PAR,1545,A,X
1yi2,ERY,9000,0,FA
1yjn,CLY,9000,0,FA
1z58,RAP,2881,2,B
2f4v,AB9,1637,A,CE
2f4v,D2C,1636,A,BE
2hhh,KSG,1523,A,V
2o43,ERN,2881,A,B
2o44,JOS,2881,A,B
2o45,RU6,2881,A,B
2ogn,G80,2881,0,C
2ogo,G34,0,0,C
2uu9,PAR,1601,A,X
2uua,PAR,1601,A,X
2uub,PAR,1601,A,X
2uuc,PAR,1601,A,X
2uxb,PAR,3001,A,X
2uxc,PAR,2001,A,X
2uxd,PAR,3001,A,X
2vqe,PAR,1854,A,QJ
2vqf,PAR,1601,A,X
3cc4,ANM,2924,0,SL
3cxc,SLD,9500,0,FA
3dll,ZLD,2911,X,IB
3fwo,MT9,2881,A,C
3g4s,MUL,9101,0,XJ
3g6e,HMT,9101,0,BK
3g71,WIN,9101,0,CK
3i56,TAO,2924,0,SL
3jq4,LC2,2881,A,C
3t1h,PAR,1783,A,XG
3t1y,PAR,1786,A,AH
4aqy,AM2,3002,A,TH
4aqy,AM2,3004,A,VH
4aqy,AM2,3005,A,WH
4dr2,PAR,1601,A,V
4dr2,PAR,1604,A,Y
4dr2,PAR,1608,A,CA
4dr2,PAR,1611,A,FA
4dr2,PAR,1613,A,HA
4dr2,PAR,1614,A,IA
4dr2,PAR,1616,A,KA
4dr2,PAR,1617,A,LA
4dr4,PAR,1601,A,X
4dr4,PAR,1604,A,AA
4dr4,PAR,1611,A,HA
4dr4,PAR,1613,A,JA
4dr4,PAR,1615,A,LA
4dr4,PAR,1616,A,MA
4dr4,PAR,1618,A,OA
4gkj,PAR,1785,A,ZG
4gkk,PAR,1785,A,ZG
4jya,PAR,1614,A,KA
4khp,PAR,1601,A,W
4khp,PAR,1605,A,AA
4khp,PAR,1607,A,CA
4l47,PAR,1667,QA,WF
4l47,PAR,1673,XA,TS
4l71,PAR,1666,QA,VF
4l71,PAR,1673,XA,SS
4lel,PAR,1671,XA,MS
4lf4,LLL,1749,A,NF
4lf5,HYG,1717,A,HE
4lf6,NMY,1832,A,SI
4lf6,NMY,1837,A,XI
4lf7,PAR,1810,A,WH
4lf7,PAR,1813,A,ZH
4lf7,PAR,1816,A,CI
4lf8,PAR,1810,A,WH
4lf8,PAR,1813,A,ZH
4lf8,PAR,1816,A,CI
4lf9,LLL,1743,A,HF
4lfa,HYG,1716,A,GE
4lfb,NMY,1822,A,II
4lfb,NMY,1824,A,KI
4lfc,TOY,1738,A,CF
4lnt,PAR,1666,QA,VF
4lnt,PAR,1673,XA,SS
4lsk,PAR,1666,QA,VF
4lsk,PAR,1675,XA,RS
4lt8,PAR,1670,QA,ZF
4lt8,PAR,1675,XA,TS
4p6f,PAR,1667,QA,YF
4p6f,PAR,1672,XA,XS
4p70,PAR,1601,QA,ID
4p70,PAR,1601,XA,KQ
4tua,PAR,1696,QA,ZG
4tub,PAR,1681,QA,KG
4tud,PAR,1691,QA,UG
4tue,PAR,1693,QA,WG
4u20,VIF,3001,BA,VF
4u20,VIF,3001,DA,SP
4u24,DOL,3001,BA,VF
4u24,DOL,3001,DA,SP
4u25,VIR,3001,BA,VF
4u25,VIR,3001,DA,SP
4u3m,ANM,4218,1,DWA
4u3m,ANM,4260,5,AVC
4u4o,GET,2181,2,AQ
4u4q,HMT,4217,1,CWA
4u4q,HMT,4255,5,WUC
4u4u,3KD,4218,1,DWA
4u4u,3KD,4254,5,UUC
4u50,3L2,4212,1,WVA
4u50,3L2,4246,5,KUC
4u51,3KF,4212,1,XVA
4u51,3KF,4248,5,KUC
4u52,3J2,4209,1,UVA
4u52,3J2,4254,5,VUC
4u53,3J6,4213,1,XVA
4u53,3J6,4246,5,IUC
4u56,BLS,4211,1,WVA
4u6f,ZBA,4206,1,RVA
4u6f,ZBA,4256,5,WUC
4v4h,KSG,1601,AA,AD
4v4h,KSG,1601,CA,PJ
4v51,PAR,1816,AA,PL
4v51,PAR,1790,CA,FNA
4v52,NMY,1601,AA,AD
4v52,NMY,3001,BB,JF
4v52,NMY,1601,CA,RJ
4v52,NMY,3001,DB,CM
4v53,LLL,2061,AA,IF
4v53,LLL,2062,AA,JF
4v53,LLL,2063,AA,KF
4v53,LLL,3111,BB,RJ
4v53,LLL,2062,CA,CM
4v53,LLL,3112,DB,NQ
4v55,LLL,1661,AA,KF
4v55,LLL,3111,BB,RJ
4v55,LLL,1662,CA,CM
4v55,LLL,3112,DB,LQ
4v57,NMY,1601,AA,AD
4v57,NMY,3001,BB,KF
4v57,NMY,1601,CA,SJ
4v57,NMY,3001,DB,BM
4v5c,PAR,1814,AA,PL
4v5c,PAR,1817,CA,JOA
4v5d,PAR,1799,AA,AL
4v5d,PAR,1800,CA,CLA
4v5g,PAR,1601,AA,OD
4v5g,PAR,1601,CA,WD
4v5y,PAR,1661,AA,KF
4v5y,PAR,3111,BB,RJ
4v5y,PAR,1662,CA,CM
4v5y,PAR,3112,DB,LQ
4v64,HYG,2059,AA,GF
4v64,HYG,2062,CA,ZL
4v7t,CLM,3136,BA,WJ
4v7v,CLY,3135,BA,VJ
4v7w,CLM,3370,BA,MT
4v7w,CLM,3334,DA,GJA
4v8a,T8B,3001,AA,YC
4v8a,T8B,3001,BA,BD
4v8c,PAR,1841,CA,IHB
4v8c,PAR,1805,DA,CQB
4v8f,PAR,1715,BA,BFA
4v8f,PAR,1722,CA,XOA
4v8j,PAR,1694,AA,ZG
4v8j,PAR,1695,CA,IV
4v97,PAR,7111,AA,QH
4v97,PAR,1741,CA,MAA
4v9a,TAC,1833,AA,AM
4v9a,TAC,1805,CA,MUA
4v9b,T1C,1837,AA,GM
4v9b,T1C,1800,CA,KUA
4v9c,NMY,1656,AA,IF
4v9c,NMY,1657,AA,JF
4v9c,NMY,3161,BA,QL
4v9c,NMY,3167,BA,WL
4v9c,NMY,1672,CA,ZO
4v9c,NMY,3184,DA,CW
4v9c,NMY,3187,DA,FW
4v9c,NMY,3190,DA,IW
4v9q,BLS,4001,AA,ED
4v9q,BLS,4405,CA,ZJE
4w29,NMY,1601,AA,UD
4w29,NMY,2902,BA,WD
4w29,NMY,2903,BA,XD
4w29,NMY,2904,BA,YD
4w29,NMY,2901,DA,DE
4w2i,NEG,3216,AA,PL
4w2i,NEG,3218,AA,RL
4w2i,NEG,3219,AA,SL
4w2i,NEG,3004,AW,QM
4w2i,NEG,3013,AX,EN
4w2i,NEG,3170,CA,PCB
4w2i,NEG,3172,CA,RCB
4w2i,NEG,3173,CA,SCB
4w2i,NEG,3002,CW,LDB
4wf1,NEG,1657,CA,RP
4wfa,ZLD,3001,X,CA
4wfb,3LK,3001,X,CA
4wfb,EPE,3423,X,IQ
4wfn,ERY,2902,X,JA
4woi,PAR,1672,AA,ZF
4woi,PAR,3001,BA,BG
4woi,PAR,3005,BA,FG
4woi,PAR,3167,CA,GU
4woi,PAR,3168,CA,HU
4woi,PAR,1655,DA,SW
4wra,PAR,1745,13,SI
4wra,PAR,1686,1G,AGA
4wsd,PAR,1749,13,YI
4wsd,PAR,1697,1G,NIA
4wt8,3V6,3001,C1,PD
4wt8,3V6,3001,D1,RD
4wt8,PAR,1601,Ab,ND
