id,pdbid,NAKBnaList,NAKBprotList,NAKBligList
1CKT,1CKT,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),HMG box,other &alpha;-helix,regulatory,transcription",metal coordinating ligand
1Q9X,1Q9X,"double helix,structure","enzyme,polymerase,transferase",nucleotide like
1S0M,1S0M,"B-form double helix,double helix,structure","enzyme,polymerase,transferase","covalently linked ligand,major groove binding"
1XC9,1XC9,"B-form double helix,double helix,structure","enzyme,polymerase,transferase","covalently linked ligand,minor groove binding"
1ZTT,1ZTT,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",minor groove binding
2IA6,2IA6,"B-form double helix,double helix,structure","enzyme,polymerase,transferase","covalently linked ligand,intercalating"
2R2S,2R2S,"B-form double helix,T-T mispair,double helix,feature,mispair,structure","enzyme,polymerase,transferase","intercalating,minor groove binding"
2R8J,2R8J,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
2R8K,2R8K,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
2WTF,2WTF,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
3FSI,3FSI,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",minor groove binding
3M9N,3M9N,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
3PW4,3PW4,"B-form double helix,double helix,structure","enzyme,polymerase,transferase","covalently linked ligand,intercalating,major groove binding"
3PW5,3PW5,"double helix,structure","enzyme,polymerase,transferase","covalently linked ligand,intercalating,major groove binding"
3PW7,3PW7,"double helix,structure","enzyme,polymerase,transferase","covalently linked ligand,intercalating,major groove binding"
4DL4,4DL4,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
4DL5,4DL5,"double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
4DL6,4DL6,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
4DL7,4DL7,"double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
4EEY,4EEY,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
4Q9R,4Q9R,"quadruplex,structure","antibody,immune system,regulatory",nucleotide like
4YB1,4YB1,"function,purine-compound riboswitch,riboswitch","ribonucleoprotein,spliceosome,structural",nucleotide like
5WM1,5WM1,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,polymerase,regulatory,transferase",covalently linked ligand
5WM8,5WM8,"double helix,structure","DNA replication/repair,enzyme,polymerase,regulatory,transferase",covalently linked ligand
6BRX,6BRX,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
6BS1,6BS1,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",metal coordinating ligand
8D86,8D86,"B-form double helix,double helix,structure","DNA replication/repair,regulatory",minor groove binding
8DW8,8DW8,"B-form double helix,T-T mispair,double helix,feature,mispair,structure","enzyme,polymerase,transferase","intercalating,minor groove binding"
8DWM,8DWM,"B-form double helix,T-T mispair,double helix,feature,mispair,structure","enzyme,polymerase,transferase","intercalating,minor groove binding"
101D,101D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
102D,102D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
107D,107D,"B-form double helix,double helix,structure",,"covalently linked ligand,minor groove binding"
108D,108D,"double helix,structure",,"bis-intercalating,minor groove binding"
109D,109D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
10MH,10MH,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
110D,110D,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
121D,121D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
127D,127D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
128D,128D,"DNA dodecamer,double helix,feature,structure",,minor groove binding
129D,129D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
130D,130D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
144D,144D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
146D,146D,"double helix,structure",,minor groove binding
151D,151D,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
152D,152D,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
154D,154D,"double helix,structure",,"bis-intercalating,major groove binding"
159D,159D,"B-form double helix,double helix,structure",,minor groove binding
166D,166D,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
173D,173D,"double helix,structure",,"intercalating,minor groove binding"
182D,182D,"B-form double helix,double helix,structure",,"intercalating,major groove binding,minor groove binding"
185D,185D,"double helix,structure",,"intercalating,minor groove binding"
193D,193D,"double helix,structure",,"bis-intercalating,minor groove binding"
195D,195D,"B-form double helix,double helix,structure",,minor groove binding
198D,198D,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
199D,199D,"double helix,structure",,"covalently linked ligand,minor groove binding"
1A02,1A02,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,immunoglobulin (Ig) fold,leucine zipper (bZIP),regulatory,rel homology,transcription",
1A0A,1A0A,"double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,helix-loop-helix (bHLH),regulatory,transcription",
1A1F,1A1F,"double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1A1G,1A1G,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1A1H,1A1H,"double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1A1I,1A1I,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1A1J,1A1J,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1A1K,1A1K,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1A1L,1A1L,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1A1T,1A1T,"double helix,structure","structural,virus",
1A2E,1A2E,"double helix,structure",,metal coordinating ligand
1A31,1A31,"B-form double helix,double helix,structure","enzyme,isomerase",
1A35,1A35,"B-form double helix,double helix,structure","enzyme,isomerase",
1A36,1A36,"B-form double helix,double helix,structure","enzyme,isomerase",
1A3Q,1A3Q,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),immunoglobulin (Ig) fold,regulatory,rel homology,transcription",
1A4T,1A4T,"A-form double helix,double helix,structure","regulatory,transcription",
1A66,1A66,"double helix,structure","DNA-binding transcription factor (TF),P53 like,immunoglobulin (Ig) fold,regulatory,transcription",
1A6Y,1A6Y,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc-coordinating,nuclear receptor ZnC4,regulatory,transcription",
1A73,1A73,"double helix,structure","enzyme,hydrolase,nuclease",
1A74,1A74,"double helix,structure","enzyme,hydrolase,nuclease",
1A84,1A84,"DNA dodecamer,double helix,feature,structure",,metal coordinating ligand
1AAY,1AAY,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc finger C2H2,Zinc-coordinating,regulatory,transcription",
1AG5,1AG5,"double helix,structure",,"covalently linked ligand,intercalating,major groove binding"
